name;id;bbox
Gemeinde Gumtow;afg-gumtow;[12.054006,52.912463,12.418749,53.081789]
Landkreis Havelland;lk-havelland;[12.1421717,52.438567599,13.1688227,52.810611399]
Gemeinde Heideblick;afg-heideblick;[13.505642,51.726739,13.764205,51.891589]
Gemeinde Heidesee;afg-heidesee;[13.669403,52.180435,13.863108,52.322992]
Gemeinde Heiligengrabe;afg-heiligengrabe;[12.289245,53.014442,12.516963,53.228747]
Stadt Hennigsdorf;afs-hennigsdorf;[13.15301,52.586598,13.243719,52.675531]
Stadt Herzberg (Elster);afs-herzberg-(elster);[13.050781,51.597953,13.334485,51.760025]
Stadt Hohen Neuendorf;afs-hohen-neuendorf;[13.204278,52.626863,13.360669,52.741477]
Gemeinde Hoppegarten;afg-hoppegarten;[13.610534,52.466453,13.688666,52.569557]
Amt Joachimsthal (Schorfheide);amt-joachimsthal-(schorfheide);[13.602276,52.901676,13.953144,53.058802]
Stadt Jüterbog;afs-juterbog;[12.956308,51.954921,13.233316,52.096021]
Gemeinde Karstädt;afg-karstadt;[11.550036,53.07137,11.854973,53.244337]
Stadt Ketzin/Havel;afs-ketzinhavel;[12.734336,52.450117,12.946821,52.561719]
Amt Kleine Elster (Niederlausitz);amt-kleine-elster-(niederlausitz);[13.657133,51.548576,13.890545,51.759639]
Gemeinde Kleinmachnow;afg-kleinmachnow;[13.157783,52.392416,13.249727,52.421175]
Gemeinde Kloster Lehnin;afg-kloster-lehnin;[12.50016,52.238354,12.828169,52.396185]
Gemeinde Kolkwitz / Go?kojce;afg-kolkwitz;[14.100458,51.699973,14.309674,51.807063]
Stadt Königs Wusterhausen;afs-konigs-wusterhausen;[13.568251,52.253647,13.757118,52.389359]
Stadt Kremmen;afs-kremmen;[12.82463,52.694905,13.202959,52.897262]
Stadt Kyritz;afs-kyritz;[12.189503,52.892642,12.557254,53.057066]
Stadt Lauchhammer;afs-lauchhammer;[13.630964,51.456041,13.872653,51.55412]
Amt Lebus;amt-lebus;[14.313956,52.373939,14.635467,52.526079]
Gemeinde Leegebruch;afg-leegebruch;[13.172589,52.704638,13.214815,52.745457]
Amt Lenzen-Elbtalaue;amt-lenzen-elbtalaue;[11.265773,53.001632,11.726816,53.174357]
Gemeinde Letschin;afg-letschin;[14.26964,52.589399,14.498836,52.760904]
Stadt Liebenwalde;afs-liebenwalde;[13.247267,52.795605,13.523166,52.937672]
Verbandsgemeinde Liebenwerda;vg-liebenwerda;[13.141088,51.384518,13.555171,51.658967]
Amt Lieberose/Oberspreewald;amt-lieberoseoberspreewald;[13.969479,51.857019,14.453553,52.086966]
Amt Lindow (Mark);amt-lindow-(mark);[12.909033,52.842177,13.056929,53.07499]
Gemeinde Löwenberger Land;afg-lowenberger-land;[13.018086,52.797492,13.374922,52.95688]
Stadt Lübben (Spreewald) / Lubin (B?ota);afs-lubben-(spreewald);[13.787812,51.892137,14.01934,51.998777]
Stadt Lübbenau (Spreewald) / Lubnjow (B?ota);afs-lubbenauspreewald;[13.827327,51.76154,14.088255,51.902676]
Stadt Luckau;afs-luckau;[13.576039,51.734982,13.866113,51.928947]
Stadt Luckenwalde;afs-luckenwalde;[13.080414,52.027133,13.213671,52.133984]
Stadt Ludwigsfelde;afs-ludwigsfelde;[13.137465,52.24505,13.39374,52.33867]
Stadt Lychen;afs-lychen;[13.23985,53.110144,13.429781,53.280827]
Landkreis Märkisch-Oderland;lk-maerkisch-oderland;[13.6105904,52.373968799,14.6397196,52.903304999]
Gemeinde Märkische Heide;afg-markische-heide;[13.879721,51.956958,14.129649,52.137795]
Amt Märkische Schweiz;amt-markische-schweiz;[13.870352,52.473071,14.180776,52.652739]
Amt Meyenburg;amt-meyenburg;[12.014263,53.201147,12.355716,53.37128]
Gemeinde Michendorf;afg-michendorf;[12.967051,52.225358,13.115781,52.34851]
Gemeinde Milower Land;afg-milower-land;[12.142128,52.438369,12.449909,52.63225]
Stadt Mittenwalde;afs-mittenwalde;[13.449564,52.142657,13.624166,52.330987]
Gemeinde Mühlenbecker Land;afg-muhlenbecker-land;[13.300429,52.622729,13.42427,52.745277]
Stadt Müncheberg;afs-muncheberg;[13.952967,52.446587,14.258516,52.601129]
Stadt Nauen;afs-nauen;[12.650683,52.499475,13.013686,52.725415]
Amt Nennhausen;amt-nennhausen;[12.377958,52.526924,12.695159,52.712188]
Gemeinde Neuenhagen bei Berlin;afg-neuenhagen-bei-berlin;[13.656899,52.500674,13.742815,52.546244]
Gemeinde Neuhausen/Spree;afg-neuhausenspree;[14.295501,51.621206,14.536304,51.779717]
Stadt Neuruppin;afs-neuruppin;[12.65935,52.798432,12.986468,53.099277]
Amt Neustadt (Dosse);amt-neustadt-(dosse);[12.120367,52.751965,12.552287,52.925966]
Amt Neuzelle;amt-neuzelle;[14.47931,51.999724,14.759121,52.129434]
Gemeinde Niedergörsdorf;afg-niedergorsdorf;[12.769798,51.86735,13.12662,52.03536]
Amt Niemegk;amt-niemegk;[12.53483,51.981444,12.883309,52.188553]
Gemeinde Nordwestuckermark;afg-nordwestuckermark;[13.516641,53.220033,13.85774,53.414007]
Gemeinde Nuthe-Urstromtal;afg-nuthe-urstromtal;[12.950142,51.980986,13.414837,52.20799]
Gemeinde Nuthetal;afg-nuthetal;[13.048215,52.247804,13.17617,52.364768]
Landkreis Oberhavel;lk-oberhavel;[12.8246251,52.586599599,13.5230803,53.251212399]
Gemeinde Oberkrämer;afg-oberkramer;[12.981542,52.606644,13.193747,52.762668]
Landkreis Oberspreewald-Lausitz;lk-oberspreewald-lausitz;[13.6309636,51.359063999,14.2174998,51.902676099]
Landkreis Oder-Spree;lk-oder-spree;[13.6672387,51.999722899,14.759094,52.500884199]
Amt Odervorland;amt-odervorland;[13.977096,52.276216,14.436291,52.498752]
Stadt Oranienburg;afs-oranienburg;[13.131118,52.7094,13.430597,52.846432]
Amt Ortrand;amt-ortrand;[13.679993,51.359008,13.836479,51.460791]
Landkreis Ostprignitz-Ruppin;lk-ostprignitz-ruppin;[12.12038,52.681039199,13.0578059,53.321346299]
Gemeinde Panketal;afg-panketal;[13.474532,52.600632,13.580749,52.67918]
Amt Peitz;amt-peitz;[14.249636,51.780582,14.627374,51.968728]
Stadt Perleberg;afs-perleberg;[11.692566,53.005903,11.952027,53.14537]
Gemeinde Petershagen/Eggersdorf;afg-petershageneggersdorf;[13.753117,52.505893,13.850969,52.558456]
Gemeinde Plattenburg;afg-plattenburg;[11.882259,52.875824,12.210131,53.083174]
Amt Plessa;amt-plessa;[13.510492,51.416842,13.722317,51.559398]
Landeshauptstadt Potsdam;kfs-potsdam;[12.886776,52.342041,13.168194,52.514688]
Landkreis Potsdam-Mittelmark;lk-potsdam-mittelmark;[12.2158471,51.979425799,13.3123024,52.557215399]
Stadt Premnitz;afs-premnitz;[12.303678,52.500775,12.430806,52.589478]
Stadt Prenzlau;afs-prenzlau;[13.755531,53.241358,13.962502,53.401497]
Landkreis Prignitz;lk-prignitz;[11.2662278,52.875820999,12.4186469,53.371255999]
Stadt Pritzwalk;afs-pritzwalk;[12.082288,53.072456,12.332068,53.230816]
Amt Putlitz-Berge;amt-putlitz-berge;[11.795934,53.155311,12.16069,53.323975]
